电影名,导演,上映时间,评分,评价人数
肖申克的救赎,弗兰克·德拉邦特 Frank Darabont,1993 ,9.6   ,2402841   
泰坦尼克号,詹姆斯·卡梅隆 James Cameron,1994 ,9.5   ,2411393   
千与千寻,宫崎骏 Hayao Miyazaki,1997 ,9.5   ,1470427   
星际穿越,克里斯托弗·诺兰 Christopher Nolan,1994 ,9.4   ,2534864   
盗梦空间,克里斯托弗·诺兰 Christopher Nolan,1998 ,9.4   ,1996856   
辛德勒的名单,史蒂文·斯皮尔伯格 Steven Spielberg,2009 ,9.4   ,1532284   
海上钢琴师,朱塞佩·托纳多雷 Giuseppe Tornatore,2016 ,9.3   ,2292682   
三傻大闹宝莱坞,拉库马·希拉尼 Rajkumar Hirani,2008 ,9.3   ,1477538   
放牛班的春天,克里斯托夫·巴拉蒂 Christophe Barratier,2002 ,9.3   ,1550226   
控方证人,比利·怀尔德 Billy Wilder,1995 ,9.2   ,1697298   
熔炉,黄东赫 Dong-hyuk Hwang,2017 ,9.1   ,1964269   
触不可及,奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano,1972 ,9.3   ,1096849   
